id,title,dating.year,dating.yearEarly,dating.yearLate,objectTypes.0,principalMakers.0.name,principalMakers.1.name,principalMakers.2.name,principalMakers.3.name,productionPlaces.0,description,webImage.url,classification.places.0,classification.places.1,classification.places.2,classification.places.3,classification.places.5,classification.places.6,classification.places.7,classification.places.8
"en-BI-B-FM-077-89","Koersbriefje met de prijzen van de aandelen, 1720",1720,1720,1720,"document","anoniem",,,,"Noordelijke Nederlanden","Koersbriefje met de prijzen van de aandelen van de oude en nieuwe compagnieën verhandeld op de Beurs te Amsterdam, 1720. Achter de namen van verschillende compagnieën zijn met potlood bedragen geschreven. Behoort tot de groep van extra stukken meegebonden in de gebonden eerste uitgave (304 B 11) van Het Tafereel der Dwaasheid met spotprenten op de Windhandel of Actiehandel van 1720.",,"Beurs van Hendrik de Keyser (Amsterdam)",,,,,,,
"en-BI-B-FM-077-9","Op- en Ondergang van de Actionisten, 1720",1720,1720,1720,"prent","anoniem",,,,"Noordelijke Nederlanden","Op- en Ondergang van de Actionisten. Blad met verschillende voorstellingen over de onrust ten gevolge van de Windhandel van 1720. Centraal onderaan Quinquempoix: een menigte slachtoffers van de windhandel verzameld op de Dam bij de Kalverstraat, daarboven Het Thuilleriece Hof: paniek in de Parijse Tuilerieën. Bovenaan een portret van John Law een briefje met Mississippi in de hand, met een aap en een wolf die een schaap bijt.  Linksboven koopvaart, rechtsboven graafwerkzaamheden voor het Utrechtse kanaal. In het onderschrift een vers in zeven kolommen. Prent in de gebonden eerste uitgave (304 B 11) van Het Groote Tafereel der Dwaasheid met spotprenten op de Windhandel of Actiehandel van 1720.",,"Jardin des Tuileries (Parijs)","Dam (Amsterdam)","Utrecht",,,,,
"en-BI-B-FM-077-90","Koersbriefje met de prijzen van de aandelen, 1720",1720,1720,1720,"document","anoniem",,,,"Noordelijke Nederlanden","Koersbriefje met de prijzen van de aandelen van de oude en nieuwe compagnieën verhandeld op de Beurs te Amsterdam, 1720. Achter de namen van verschillende compagnieën zijn met potlood bedragen geschreven. Behoort tot de groep van extra stukken meegebonden in de gebonden eerste uitgave (304 B 11) van Het Tafereel der Dwaasheid met spotprenten op de Windhandel of Actiehandel van 1720.",,"Beurs van Hendrik de Keyser (Amsterdam)",,,,,,,
"en-BI-B-FM-090-220","Tempel der Vrede voor het vuurwerk van 30 augustus 1721",1721,1721,1721,"prent","Jan Goeree","erven J. Ratelband en Compagnie",,,"Noordelijke Nederlanden","Voorbereidingen rond de Tempel der Vrede, het middelpunt van het vuurwerk afgestoken op 9 december 1721 op de Binnen-Amstel bij de Kloveniersburgwal ter gedachtenis van de Vrede van Nystad gesloten tussen Rusland en Zweden op 10 september 1721. In de lucht vier engeltjes, rechts een stuk van de toren Swygh Utrecht. Het vuurwerk geleverd in opdracht van Christoffel van Brants, vertegenwoordiger van de Russische kroon te Amsterdam. Onderdeel van een atlas met 223 kaarten van landen en steden en oorlogstaferelen in Europa in de periode ca. 1690-1735.",,"Swygh Utrecht (Amsterdam)","Binnen-Amstel (Amsterdam)","Kloveniersburgwal (Amsterdam)",,,,,
"en-BK-14506-A","Communion jug and two cups",1618,1618,1625,"avondmaalskelk","anoniem",,,,,"Avondmaalsbeker, deel van een paar, van tin. Het onversierde vat, naar onderen conisch toelopend, rust op een flauw gewelfde geprofileerde voet. Op de bodem drie merken, waarvan slechts op één van de bekers de klimmende leeuw is te onderscheiden.","http://lh5.ggpht.com/CzKgHhtrPSTUgD1tmHGABFSc2A1cYIMGy2ig2Xt6Or1ATUNUEqb3xQ9b4DM3pDOumJy-X__asAUsx3A1j73GeA97tzs=s0","Westerkerk (Amsterdam)",,,,,,,
"en-BK-14506-B","Communion jug and two cups",1618,1618,1625,"avondmaalskelk","anoniem",,,,,"Avondmaalsbeker, deel van een paar, van tin. Het onversierde vat, naar onderen conisch toelopend, rust op een flauw gewelfde geprofileerde voet. Op de bodem drie merken, waarvan slechts op één van de bekers de klimmende leeuw is te onderscheiden.","http://lh3.ggpht.com/PWFULJ1_Cy4qWljGprbYe4MtTXGygtLqCRPtR8Fz6pW0XvsA9sh_lvctrn1X1_ez7Hmp81uNWmgANS1eutXRe7PUB_UY=s0","Westerkerk (Amsterdam)",,,,,,,
"en-BK-1961-51","Raamrooster afkomstig van het Koninklijk Paleis op de Dam",1650,1650,1675,"rooster","",,,,"Amsterdam","Een raamrooster van ijzer bestaande uit vier staande en zes liggende vierkante staven waarvan de laatste door de staande zijn heengetrokken. Afkomstig van het Koninklijk Paleis op de Dam.",,"Koninklijk Paleis (Amsterdam)",,,,,,,
"en-BK-AM-38","Frenzy",1660,1660,1660,"beeldhouwwerk",,,,,"Amsterdam","De krankzinnige zit naakt op een boomstronkachtige, met stro bedekte verhoging op een vierkante plint. Zij heeft het gebogen linkerbeen naar voren met de voet even over de plint, het rechter is schuin naar achteren geplaatst. Zij trekt met beide handen aan haar haren, buigt daarbij het bovenlijf naar een zijde over, waardoor de linkerhand boven en de rechter onder het hoofd komt. De tong steekt uit de wijd geopende mond, waarin de bovenste rij tanden zichtbaar wordt. Op het achterhoofd wordt het haar samengehouden in een knot, waarvan een vlecht afhangt. Van haar rechteronderarm loopt een doek onder de benen door en is over het linkerbeen teruggeslagen, waardoor de schoot wordt bedekt. Een tweede doek is over de achterzijde van de verhoging gedrapeerd. Het vierkante voetstuk met geprofileerde basis en dekplaat vertoont aan elke zijde een geprofileerd diepliggend paneel, waarin een kleiner venster. Uit elk venster steekt de kop van een krankzinnige: een gebaarde, klassiek uitziende mannenkop met band om het hoofd, snor en geopende mond en vier onder de kin naar voren stekende vingers; aan de tegenover liggende zijde een kaalhoofdige mannenkop; op beide andere zijden waarschijnlijk vrouwenkoppen, waarvan één op het linker paneel met doek over het hoofd, half geopende mond en vier onder de kin uitstekende vingers, de ander met gescheiden haar en een doek op het achterhoofd.","http://lh3.ggpht.com/epbxs4L7iVEnsXx4guy_OFMw_GnExGbMFgwnrGgRruUDvKCpJ_f_XI2NFM2mz6SB9P2ANygbwHZzwU3rpma8Q6NT77-F=s0","Dolhuis (Amsterdam)",,,,,,,
"en-BK-AM-51-1-E","The Maid of Amsterdam and other fragments",1656,1656,1656,"beeldhouwwerk","Artus Quellinus (I)",,,,"Amsterdam",,"http://lh4.ggpht.com/mt-tXkycFV4-Ip1yNiGoZaBLMus577F7nwAcpqf9cYS4Lcr68AE56I78C8pWjupEe3M6Fn7uzyGz_OxxMc40exqOuh8=s0","Stadhuis op de Dam (Amsterdam)",,,,,,,
"en-BK-AM-51-1-F","The Maid of Amsterdam and other fragments",1656,1656,1656,"beeldhouwwerk","Artus Quellinus (I)",,,,"Amsterdam","Een triton op een dolfijn en blazend op een kinkhoorn.","http://lh3.ggpht.com/VQ9PiVZUKROSxqVihIYYxPApKHPbTsPGlgiP6mwiy2VBOWoUHnzR3uYuutHdTmC2wYwMOFYp0TU88IhuVMTJGn7Ybw=s0","Stadhuis op de Dam (Amsterdam)",,,,,,,
"en-BK-AM-51-1-G","The Maid of Amsterdam and other fragments",1656,1656,1656,"beeldhouwwerk","Artus Quellinus (I)",,,,"Amsterdam","Een hippocampus bereden door een najade.","http://lh6.ggpht.com/bm0ZqmlMmRqfBrDg0S4dYp63meQzQb8ZVz7DILhE9mf4GZ3Dbu2IIcBQSe24NtBbehTUPRe7CArYTP2cq9LD2vNN2xE=s0","Stadhuis op de Dam (Amsterdam)",,,,,,,
"en-BK-AM-51-1-I","The Maid of Amsterdam and other fragments",1656,1656,1656,"beeldhouwwerk","Artus Quellinus (I)",,,,"Amsterdam",,"http://lh3.ggpht.com/lDBG9STBZTdFgbQtEvGrlw49e0NVRAeSC7hWGYxqLq2LsXlN5taQYOcI2mksF5wus5k6co4RoUeHo4McWIFI4NxRCwE=s0","Stadhuis op de Dam (Amsterdam)",,,,,,,
"en-BK-AM-51-10","The Cog Boat Borne by Mercury, Hercules, Minerva and Neptune",1652,1652,1652,"beeldhouwwerk","Artus Quellinus (I)",,,,"Amsterdam","Het wapen van Amsterdam, het koggenschip, gedragen door vier zittende, deels hurkende, ruggelings naar elkaar toegewende figuren. Zij houden op hun armen en met de handen boven hun hoofden de romp van het schip. Zij stellen voor Mercurius, Hercules en Minerva, herkenbaar respectievelijk. aan de petasus, aan de leeuwenhuid en de voor hem liggende knots en aan de helm. Minerva is gekleed in een lang gewaad en afzakkende mantel met schuin over de borst een soort bandelier(?) en zit gehurkt op haar schild. De gebaarde mannenfiguur zonder attribuut zal Neptunus of Jupiter voorstellen. In de linker hand van Mercurius een fragment van een attribuut (de geldbuidel ?).","http://lh4.ggpht.com/wOtDpDFya6XSGOIY0Wf5Z4A_jXZ4QU2DFJrCuXh4hGExbDqmsdqtd0TnIKB7ISm1mCSS9k4kJDFWRhWki0a7vwDctMqJ=s0","Stadhuis op de Dam (Amsterdam)","Amsterdam",,,,,,
"en-BK-AM-51-11","Caritas romana (Roman Charity)",1652,1652,1652,"beeld","Artus Quellinus (I)",,,,"Amsterdam","Caritas Romana, groep bestaande uit Cimon en Pero en twee medegevangenen. De drie mannen met geboeide polsen op de rug zittend op een verhoging, terwijl Pero, die haar oude vader de rechterborst reikt, op een knie voor hem knielt. Zij draagt over een lang gewaad een overkleed, dat boven de linkerknie is teruggeslagen; rechterschouder en borst zijn onbedekt. De mannen zijn voorzien van een lendendoek.","http://lh6.ggpht.com/AjricAtdtZGjFPWFxtC2TEWZY7Qifhv_kzPtuDaMLylgCAaUl8nYhJLMfzElRM1a3wmD1qq2qutSMHPSCUhCIYcTfQ=s0","Stadhuis op de Dam (Amsterdam)",,,,,,,
"en-BK-AM-51-21","The Judgement of Junius Brutus",1651,1651,1651,"beeldhouwwerk","Artus Quellinus (I)",,,,"Amsterdam","In het midden op de voorgrond knielt driekwart naar links gekeerd Brutus' jongste zoon met de handen op de rug in afwachting van de bijlslag, die de achter hem staande beul hem zal toebrengen. Deze, geheel naakt en met de rug driekwart naar de beschouwer, houdt de bijl met beide handen boven het hoofd. Geheel links Brutus' tuniek en toog, frontaal, staande op het rechterbeen en met het linker zijwaarts. Hij houdt de rechterarm voor de borst, het vertrokken gelaat naar rechts en de gestrekte linker arm gebiedend naar de beul ten teken, dat het vonnis kan worden voltrokken. Voor hem ligt het onthoofde lichaam van zijn oudste zoon; achter hem staat een hond. Op de achtergrond het bovenlijf van een veroordeelde met gebonden polsen tegenover een vierde, ter executie geleid door een Romeins soldaat, die hem het hoofd omlaag drukt. Rechts en links van de beul twee knapen, van wie de ene diens mantel draagt en de andere met de gevouwen handen voor de ogen in tranen is uitgebarsten. Geheel rechts het profiel en de schouder van een toeschouwer. Slechts de knieën en armen van de op de achtergrond zittende Jupiter zijn vaag zichtbaar boven de hoofden. Op het reliëf hier en daar horizontale en verticale groeven voor overbrenging.","http://lh6.ggpht.com/3iIX5F8vtoNLKQZzWv1ijWVP-Et-LzZ81QJgO4u8drkM0MIshnO9eZC6itR1VXYEnLj09p6jJCNXU9VdpdBNj2mEmT4=s0","Stadhuis op de Dam (Amsterdam)",,,,,,,
"en-BK-AM-51-23","The Magnanimity of Seleucus",1651,1651,1651,"beeldhouwwerk",,,,,"Nederlanden","Seleucus zit met naakt bovenlichaam naar rechts overhellend, heeft het hoofd iets achterover en balt de rechtervuist. Zijn linkerarm wordt door de op een knie gezonken jongeling met beide handen vastgehouden. Links staat, schuin achter hem, de beul, die met de ene hand zijn hoofd ondersteunt en met de andere het oog uitsteekt. Bij Seleucus' voeten de vuurpot, waarin een pin wordt verhit. Geheel links zit op een verhoging met kussens Selaucus' zoon met gevouwen handen, zich in vertwijfeling afwendend van de middengroep. Achter deze figuur staat een jongeling met gevouwen handen en, gedeeltelijk in laagreliëf, een zestal mannelijke toeschouwers, van wie enkele door gebaren aan hun medeleven uitdrukking geven. Twee hoger staande knapen buigen zich over Seleucus heen en kijken aandachtig toe; een haaft zijn arm om de schouder van de ander geslagen. Van rechts komt een gebaarde grijsaard met opgeheven, gevouwen handen. Acher deze is nog net het profiel van een jongeling zichtbaar. Vanuit de rechter hoek rent een hond naar voren. Meer op de achtergrond staat hoog boven allen uit het beeld van Justitia (?) gehuld in een mantel; links is de vage omtrek van een tempel te zien.","http://lh3.ggpht.com/6IpY6tFvshG-TIYqJGS02gW2nIlZMIlfcK6ygaBoEScvDnL8isDLGGpP4Qw--sPJ9Ip2U76ZsyINQi_F-vzvCWE_qWM=s0","Stadhuis op de Dam (Amsterdam)",,,,,,,
"en-BK-AM-51-24-A-1","Weeping and captive caryatids: Remorse and Penance",1650,1650,1650,"beeld","Artus Quellinus (I)",,,,"Amsterdam","'Gevangen vrouw', de Boete voorstellend, met de handen op de rug. Het dubbelgeslagen kleed is voor de schoot samengeknoopt.","http://lh6.ggpht.com/k2h0M8Xg11GpeHLmZntssTMuFk8AJDaWCxCHPT0-hCvvCNTVIaH2mupaOg3AeQL3b9U5ogjl7ZiFdtrVvgxPtC54kRk=s0","Stadhuis op de Dam (Amsterdam)",,,,,,,
"en-BK-AM-51-24-A-2","Weeping and captive caryatids: Remorse and Penance",1650,1650,1650,"beeld","Artus Quellinus (I)",,,,"Amsterdam","'Gevangen vrouw', de Boete voorstellend, met de handen op de rug. Het kleed, dat tussen de knieën is geklemd, glijdt van de heup af.","http://lh3.ggpht.com/wYGsRr4pd2zAzO-T3-bQVxlUAvge2PBZEZly6hdzhudEyyNIAKCE6qv3CHsNeLL4TCaEZG3FpNHf00LUKrVA8Kv8PQ=s0","Stadhuis op de Dam (Amsterdam)",,,,,,,
"en-BK-AM-51-24-B-1","Weeping and captive caryatids: Remorse and Penance",1650,1650,1650,"beeld","Artus Quellinus (I)",,,,"Amsterdam","'Bedrukte vrouw', Berouw voorstellend, met de handen voor het gelaat. Het kleed valt op de rechterheup terug.","http://lh3.ggpht.com/MNJruEDbjQYGCEduB5IHB2XdsqfSSrTRtFdfeJRu8mbD-aBROQWrp318-1Se1y7hs3t_ojdfuLPi_qZYFkF8yY8_crgm=s0","Stadhuis op de Dam (Amsterdam)",,,,,,,
"en-BK-AM-51-24-B-2","Weeping and captive caryatids: Remorse and Penance",1650,1650,1650,"beeld","Artus Quellinus (I)",,,,"Amsterdam","'Bedrukte vrouw', Berouw voorstellend, met de over elkaar geslagen handen voor het gelaat. Het dubbelgeslagen kleed is bovenaan opgerold en zakt van de heup af.","http://lh4.ggpht.com/U3MIa2EMCHlH5qeVv8_TU3lg-c5yQWgHmls7_IHVsiRWVRIgdfaUifsHYCOQR9ZPpDiMq6yl8ZUvlNcQ1ecIon7noFYr=s0","Stadhuis op de Dam (Amsterdam)",,,,,,,
"en-BK-AM-51-3","The Four Continents Paying Homage to Amsterdam",1655,1655,1655,"beeldhouwwerk",,,,,"Amsterdam","In het midden zit op de rand van het koggeschip de Amsterdamse stedenmaagd getooit met de Mercuriushoed. Zij heeft beide armen uitgespreid, de handel aldus beschermend, verzinnebeeld door de vier werelddelen, die hun waren aanbieden. Zij heeft de voeten op de aardbol, waarnaast de stroomgoden IJ en Amstel geleund liggen tegen hun vazen, waaruit water met enkele vissen stroomt; de twee stromen vloeien samen. het IJ, gehuld in een visnet en met een zogenaamde scheepskroon, zit op een dolfijn en een anker, de Amstel met een kroon van biezen heeft twee roeispanen en een pikhaak voor zich; een otter kruipt tussen hem en de vaas uit. Tegen de aardbol een astrolabium, een jacobsstaf en een passer. Links van deze middengroep staat Europa, op het hoofd de keizerskroon en in beide handen de hoorn van overvloed. Zij wordt omgeven door paarden en runderen, voortgedreven door een man met een knuppel. Links van haar Afrika, een zwarte vrouw met grote zonnehoed, die een leeuw leidt bij de manen; over diens lichaam legt een olifant zijn slurf. Afrika wordt vergezeld door een zwarte jongen met papegaai en een met een salamander. Om haar linkerbeen kronkelen zich twee slangen, waarvan de één de ander in de kop bijt. Achter deze groep slepen twee mannen (één met een hefboom) koopwaar aan, die in een zak, baal, kist en ton verpakt is, een derde tilt één van de op de op de grond liggende olifantstanden op. Geheel links, naast een zak een graanschoof. Rechts van de stedenmaagd Azië, een gesluierde vrouw met tulband, waarop een maansikkel. Zij staat naast een kameel, die zij bij de halster houdt, terwijl zij in de linkerhand een wierookvat heeft, waarin door een jongen wordt geblazen. Voor haar gaan twee knapen van wie de een een kist draagt, waar hij het deksel van oplicht en de ander enige tulpen aanbiedt; op de achtergrond een struisvogel een vrouw met een mand vruchten op het hoofd; op de voorgrond een krokodil, bereden door een jongen, die in de geopende bekvan het dier een stok houdt. Amerika wordt door twee figuren voorgesteld, door een op de rug geziene vrouw met veren hoofdtooi en pijlkoker aan haar zijde en een rokende indiaan, eveneens met veren hoofdtooi, zittend op een mand en geleund tegen rollen tabak. De vrouw wendt zich tot de stedenmaagd en biedt de vruchten aan, die een achter haar staande man in een groot vat torst en waaruit een snoer kralen hangt. achter hem draagt man, met een op een vlam gelijkende haarlok op het overigens kale hoofd, een bak met vuur op de schouder. Tussen de voeten der vrouwen een gordeldier. Meer naar rechts zwoegen drie mijnwerkers, van wie twee een mand op de rug dragen en één een houweel hanteert, terwijl een aap nieuwsgierig in de mijnschacht kijkt en een tweede zich te goed doet aan veldvruchten, die naast een aloë op de bodem liggen verspreid.","http://lh6.ggpht.com/cb0ats_-4xBEHXvX8L4bS1NaX0LBA12HaaZR1vG5BJcbWN9Mv4iFzt_k-QYzLSpau6ch1_gM5J6tNUso1ZLlqQIB1Q=s0","Stadhuis op de Dam (Amsterdam)","Amsterdam",,,,,,
"en-BK-AM-51-5","Justice",1656,1656,1656,"beeldhouwwerk","Artus Quellinus (I)",,,,"Amsterdam","Schets van een vrouwenfiguur met het hoofd iets naar links gewend, staande op het linkerbeen en met het rechter gebogen. In de rechterhand houdt zij de greep van een scepter; de linkeronderarm steekt naar voren voor het vasthouden van een weegschaal. Op het golvende haar, dat van voren is gescheiden en op het achterhoofd in vlechten is gelegd, draagt zij een diadeem. Een fijn geplooid onderkleed met teruggeslagen mouwen, dat de schouders vrijlaat, valt tot op het schoeisel. Een mouwloos overkleed, waarvan de boveneinden door een knoop worden verbonden, glijdt van de linkerschouder omlaag en is om de lendenen opgeschort, zodat een deel van het onderkleed tevoorschijn komt. De rugzijde is slechts gedeeltelijk bewerkt.","http://lh4.ggpht.com/HrPWnU18CHXKQWn969gGrobA3jGfLwJKZ6yJsI0hcW2lkniODLq3kP_ozIVY5dBd0zt3qjZRaPfVNlC9pgMSvBaV-Kg=s0","Stadhuis op de Dam (Amsterdam)",,,,,,,
"en-BK-AM-51-6","Wisdom",1656,1656,1656,"beeldhouwwerk","Artus Quellinus (I)",,,,"Amsterdam","Schets van een vrouwenfiguur met het hoofd naar rechts gewend, staande op het rechterbeen en met het linker gebogen. Met de linkerhand houdt zij de staart van de slang vast, die om haar arm kronkelt. Van het golvende haar, waarvan een deel wordt samengehouden door een parelsnoer met middenvoor een edelsteen, valt een tres op de linkerschouder. Zij draagt, behalve een fijn geplooid onderkleed, een overkleed met mouwen, dat van de linkerschouder afglijdt en door de dwars over de borst lopende riem wordt samengehouden. De mouwen vertonen een doorlopend, door knopen gesloten split. Rugzijde vrijwel vlak en onbewerkt.","http://lh3.ggpht.com/Xf1R1-HhMxuITRUlt1IqUnBcASMS_h9fvMYhWoyLfwBG9-excHJFlkIjpT9DBBPlUErYanJnmU49fnl0uP2tB675p-Y=s0","Stadhuis op de Dam (Amsterdam)",,,,,,,
"en-BK-AM-51-7","Atlas",1656,1656,1656,"beeldhouwwerk","Artus Quellinus (I)",,,,"Amsterdam","Schets van een mannenfiguur, staande met gespreide armen (die grotendeels verloren gingen) op het linkerbeen en met het rechter gebogen; het gebaarde hoofd, dat met een krans van bladeren is omgeven, rust op de borst. Hij draagt een in elkaar gedraaide, naar links afzakkende lendendoek, welke naar achteren tot op de grond afhangt.","http://lh5.ggpht.com/_I13FZNJoD0IukySpzodme_mG8Cga4GHrRO1-xFb2u_hE-fEbizJSQoE2eKDD6mvUlYn31YAe9ESIefrS5FPP4tQYg=s0","Stadhuis op de Dam (Amsterdam)",,,,,,,
"en-BK-BFR-147","Balkon van het huis Herengracht 625 te Amsterdam",1650,1650,1650,"bouwfragment","anoniem",,,,"Amsterdam","Balkon van zandsteen van het afgebroken huis van bouwmeester A. Dortsman, Herengracht 625 te Amsterdam.",,"Herengracht 625 (Amsterdam)",,,,,,,
"en-BK-KOG-1494","Trowel",1648,1648,1648,"troffel",,,,,"Amsterdam","Troffel van zilver. Op de schep het gegraveerde wapen van burgemeester Cornelis de Graeff in een cartouche van kwabornament, met onderschrift. Het gedreven handvat wordt geheel gevormd door kwabornament.","http://lh6.ggpht.com/r7zj-FqjTczwN0GV3ftpHof7-QaY4IhDHk8IplnffCIUz8U8WLZ4IEyr6_hcOU9c64e1e9k3xwWzHP9JbKcjzzq-UcA=s0","Stadhuis op de Dam (Amsterdam)",,,,,,,
"en-KOG-MP-2-0025","Medallion",1648,1648,1648,"historiepenning","Johannes Lutma (I)",,,,"Amsterdam","Gegraveerde gouden plaat in gladde rand met oog en draagring, op de voorzijde een ovaal wapenschild van Amsterdam in gekroonde cartouche, gedragen door twee leeuwen, staande op een ornament waarop het jaartal 1648; op de keerzijde een tien-regelig opschrift.",,"Stadhuis (Amsterdam)",,,,,,,
